Date	SPY
2014-12-01	201.686546
2014-12-02	202.990218
2014-12-03	203.774383
2014-12-04	203.548941
2014-12-05	203.882206
2014-12-08	202.519725
2014-12-09	202.382497
2014-12-10	199.138027
2014-12-11	200.147635
2014-12-12	196.912963
2014-12-15	195.560278
2014-12-16	193.991962
2014-12-17	197.795139
2014-12-18	202.686357
2014-12-19	203.548774
2014-12-22	204.485103
2014-12-23	204.761074
2014-12-24	204.78079
2014-12-26	205.441149
2014-12-29	205.717119
2014-12-30	204.613238
2014-12-31	202.582863
2015-01-02	202.474445
2015-01-05	198.817829
2015-01-06	196.945171
2015-01-07	199.399337
2015-01-08	202.937684
2015-01-09	201.311429
2015-01-12	199.734442
2015-01-13	199.17265
2015-01-14	197.970202
2015-01-15	196.156677
2015-01-16	198.729128
2015-01-20	199.152934
2015-01-21	200.158263
2015-01-22	203.134818
2015-01-23	202.021071
2015-01-26	202.494161
2015-01-27	199.823159
2015-01-28	197.260559
2015-01-29	199.083949
2015-01-30	196.580484
2015-02-02	199.014949
2015-02-03	201.892937
2015-02-04	201.12416
2015-02-05	203.15452
2015-02-06	202.592728
2015-02-09	201.685966
2015-02-10	203.834595
2015-02-11	203.952864
2015-02-12	205.914239
2015-02-13	206.761867
2015-02-17	207.087121
2015-02-18	207.106837
2015-02-19	206.958986
2015-02-20	208.200868
2015-02-23	208.171301
2015-02-24	208.762659
2015-02-25	208.585256
2015-02-26	208.338853
2015-02-27	207.629211
2015-03-02	208.940078
2015-03-03	208.082584
2015-03-04	207.205389
2015-03-05	207.432091
2015-03-06	204.51467
2015-03-09	205.362298
2015-03-10	202.030922
2015-03-11	201.557832
2015-03-12	204.120431
2015-03-13	202.868699
2015-03-16	205.579134
2015-03-17	204.968059
2015-03-18	207.432091
2015-03-19	206.485896
2015-03-20	208.308502
2015-03-23	207.902593
2015-03-24	206.734386
2015-03-25	203.704935
2015-03-26	203.219839
2015-03-27	203.685146
2015-03-30	206.170071
2015-03-31	204.368242
2015-04-01	203.645537
2015-04-02	204.378151
2015-04-06	205.754268
2015-04-07	205.209758
2015-04-08	205.902764
2015-04-09	206.813573
2015-04-10	207.942187
2015-04-13	207.001678
2015-04-14	207.397692
2015-04-15	208.328291
2015-04-16	208.268893
2015-04-17	205.873065
2015-04-20	207.754097
2015-04-21	207.506594
2015-04-22	208.526306
2015-04-23	209.051011
2015-04-24	209.536107
2015-04-27	208.664907
2015-04-28	209.328213
2015-04-29	208.466907
2015-04-30	206.377981
2015-05-01	208.615403
2015-05-04	209.209417
2015-05-05	206.813573
2015-05-06	205.962162
2015-05-07	206.783874
2015-05-08	209.506408
2015-05-11	208.506501
2015-05-12	207.882789
2015-05-13	207.922397
2015-05-14	210.090527
2015-05-15	210.318226
2015-05-18	210.971637
2015-05-19	210.902329
2015-05-20	210.753833
2015-05-21	211.367636
2015-05-22	210.862735
2015-05-26	208.595599
2015-05-27	210.575623
2015-05-28	210.33803
2015-05-29	209.031206
2015-06-01	209.45692
2015-06-02	209.24901
2015-06-03	209.803415
2015-06-04	208.031299
2015-06-05	207.674894
2015-06-08	206.39777
2015-06-09	206.368071
2015-06-10	208.853012
2015-06-11	209.516318
2015-06-12	207.912488
2015-06-15	207.011588
2015-06-16	208.150096
2015-06-17	208.486697
2015-06-18	210.654826
2015-06-19	209.719698
2015-06-22	210.794114
2015-06-23	210.95329
2015-06-24	209.421246
2015-06-25	208.774614
2015-06-26	208.734828
2015-06-29	204.357575
2015-06-30	204.785359
2015-07-01	206.426819
2015-07-02	206.247758
2015-07-06	205.650855
2015-07-07	206.934176
2015-07-08	203.472179
2015-07-09	203.84026
2015-07-10	206.406919
2015-07-13	208.675125
2015-07-14	209.590365
2015-07-15	209.520735
2015-07-16	211.201997
2015-07-17	211.371116
2015-07-20	211.490491
2015-07-21	210.664781
2015-07-22	210.276799
2015-07-23	209.092951
2015-07-24	206.924233
2015-07-27	205.720485
2015-07-28	208.247357
2015-07-29	209.679911
2015-07-30	209.729656
2015-07-31	209.411304
2015-08-03	208.704969
2015-08-04	208.297101
2015-08-05	208.983535
2015-08-06	207.272429
2015-08-07	206.874489
2015-08-10	209.480949
2015-08-11	207.580824
2015-08-12	207.839473
2015-08-13	207.580824
2015-08-14	208.336887
2015-08-17	209.500834
2015-08-18	208.893989
2015-08-19	207.242586
2015-08-20	202.915078
2015-08-21	196.806834
2015-08-24	188.519915
2015-08-25	186.301452
2015-08-26	193.454268
2015-08-27	198.239389
2015-08-28	198.249332
2015-08-31	196.647658
2015-09-01	190.778179
2015-09-02	194.399352
2015-09-03	194.538627
2015-09-04	191.59393
2015-09-08	196.408894
2015-09-09	193.782548
2015-09-10	194.837079
2015-09-11	195.722475
2015-09-14	194.99624
2015-09-15	197.423623
2015-09-16	199.144671
2015-09-17	198.697001
2015-09-18	195.449997
2015-09-21	196.460007
2015-09-22	193.899994
2015-09-23	193.600006
2015-09-24	192.899994
2015-09-25	192.869995
2015-09-28	188.009995
2015-09-29	188.119995
2015-09-30	191.630005
2015-10-01	192.130005
2015-10-02	195.0
2015-10-05	198.470001
2015-10-06	197.789993
2015-10-07	199.410004
2015-10-08	201.210007
2015-10-09	201.330002
2015-10-12	201.520004
2015-10-13	200.25
2015-10-14	199.289993
2015-10-15	202.350006
2015-10-16	203.270004
2015-10-19	203.369995
2015-10-20	203.110001
2015-10-21	201.850006
2015-10-22	205.259995
2015-10-23	207.509995
2015-10-26	207.0
2015-10-27	206.600006
2015-10-28	208.949997
2015-10-29	208.830002
2015-10-30	207.929993
2015-11-02	210.389999
2015-11-03	211.0
2015-11-04	210.360001
2015-11-05	210.149994
2015-11-06	210.039993
2015-11-09	208.080002
2015-11-10	208.559998
2015-11-11	207.740005
2015-11-12	204.839996
2015-11-13	202.539993
2015-11-16	205.619995
2015-11-17	205.470001
2015-11-18	208.729996
2015-11-19	208.550003
2015-11-20	209.309998
2015-11-23	209.070007
2015-11-24	209.350006
2015-11-25	209.320007
2015-11-27	209.559998
2015-11-30	208.690002
2015-12-01	210.679993
2015-12-02	208.529999
2015-12-03	205.610001
2015-12-04	209.619995
2015-12-07	208.350006
2015-12-08	206.949997
2015-12-09	205.339996
2015-12-10	205.869995
2015-12-11	201.789993
2015-12-14	202.899994
2015-12-15	205.029999
2015-12-16	208.029999
